categories,category,image_url,name,original_price,price,product_exists,product_url,scraped_at,sku,sku_array,title
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/tle24005_aftakecwall_l_dc6604d9c717420aaae7c73605fc246e_medium.jpg,Vòi Lavabo Cảm Ứng TOTO TLE24010V,"14,990,000₫","11,692,200₫",True,https://tototuantu.vn/products/voi-lavabo-cam-ung-toto-tle24010v,2025-04-10 14:30:44,TLE24010V,TLE24010V,Vòi Lavabo Cảm Ứng TOTO TLE24010V
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/tle24008a_f26985b2c4f841b1a7b3f78e09ae333e_medium.jpg,Vòi Lavabo Cảm Ứng TOTO TLE24008V,"13,630,000₫","10,631,400₫",True,https://tototuantu.vn/products/voi-lavabo-cam-ung-toto-tle24008v,2025-04-10 14:32:00,TLE24008V,TLE24008V,Vòi Lavabo Cảm Ứng TOTO TLE24008V
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/anh_11_e9caafeac2f54a9cb187ac65b3a033aa_medium.png,Vòi Lavabo Cảm Ứng TOTO TLE24007A Tự Động Thân Vừa,"12,500,000₫","9,750,000₫",True,https://tototuantu.vn/products/voi-cam-ung-tu-dong-loai-gan-ban-tle24007a,2025-04-10 14:33:26,TLE24007A,TLE24007A,Vòi Lavabo Cảm Ứng TOTO TLE24007A Tự Động Thân Vừa
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/8____36_9bae18eda2b94f21ad12a068a9587549_medium.png,Vòi Lavabo Cảm Ứng TOTO TLE24006A Tự Động,"11,360,000₫","8,860,800₫",True,https://tototuantu.vn/products/voi-cam-ung-tu-dong-loai-gan-ban-tle24006a,2025-04-10 14:34:33,TLE24006A,TLE24006A,Vòi Lavabo Cảm Ứng TOTO TLE24006A Tự Động
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/anh_10_ceabfb3e28164f009c61f077bdc8617d_medium.png,Vòi Lavabo Cảm Ứng TOTO TLE22006A Tự Động,"16,130,000₫","12,581,400₫",True,https://tototuantu.vn/products/voi-cam-ung-tu-dong-tle22006a,2025-04-10 14:35:41,TLE22006A,TLE22006A,Vòi Lavabo Cảm Ứng TOTO TLE22006A Tự Động
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/anh_2_cc7c84be40fc46a685aab1274914a8a1_medium.png,Vòi Lavabo Cảm Ứng TOTO TLE21006A Tự Động,"19,880,000₫","15,506,400₫",True,https://tototuantu.vn/products/voi-cam-ung-tu-dong-tle21006a,2025-04-10 14:36:47,TLE21006A,TLE21006A,Vòi Lavabo Cảm Ứng TOTO TLE21006A Tự Động
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/8____38_957dae50193246638d6b8d6e207bd64e_medium.png,Vòi Lavabo Cảm Ứng TOTO TLE20006A Tự Động,"19,880,000₫","15,506,400₫",True,https://tototuantu.vn/products/voi-cam-ung-tu-dong-tle20006a,2025-04-10 14:37:56,TLE20006A,TLE20006A,Vòi Lavabo Cảm Ứng TOTO TLE20006A Tự Động
"Vòi, Vòi Chậu Rửa Mặt",voi,https://product.hstatic.net/1000238289/product/tvlm112ns_af5496ceb85b4bd4ab82890593973ee6_medium.jpg,Vòi chậu gật gù nóng lạnh NEW STANDARD TVLM112NS,"3,200,000₫","2,560,000₫",True,https://tototuantu.vn/products/voi-chau-gat-gu-nong-lanh-new-standard-tvlm112ns,2025-04-10 14:39:02,TVLM112NS,TVLM112NS,Vòi chậu gật gù nóng lạnh NEW STANDARD TVLM112NS
"Vòi, Vòi Chậu Rửa Mặt",voi,https://product.hstatic.net/1000238289/product/tvlm111ns_e6304d96f6f644f7866308a6f8d44c88_medium.jpg,Vòi chậu gật gù nóng lạnh NEW STANDARD TVLM111NS,"2,660,000₫","2,128,000₫",True,https://tototuantu.vn/products/voi-chau-gat-gu-nong-lanh-new-standard-tvlm111ns,2025-04-10 14:40:29,TVLM111NS,TVLM111NS,Vòi chậu gật gù nóng lạnh NEW STANDARD TVLM111NS
"Vòi, Vòi Chậu Rửa Mặt",voi,https://product.hstatic.net/1000238289/product/tvlm102_1_ddaf4a233e564d6987b4ce8e68dec3e1_medium.png,Vòi chậu gật gù nóng lạnh TVLM102NSR,"2,100,000₫","1,680,000₫",True,https://tototuantu.vn/products/voi-chau-gat-gu-nong-lanh-tvlm102nsr,2025-04-10 14:41:56,TVLM102NSR,TVLM102NSR,Vòi chậu gật gù nóng lạnh TVLM102NSR
"Vòi, Vòi Chậu Rửa Mặt",voi,https://product.hstatic.net/1000238289/product/tlg11305v_d8920e1f4e284694b09fb52cbe2bf626_medium.jpg,Vòi chậu gật gù nóng lạnh GF TLG11305B,"6,140,000₫","4,789,200₫",True,https://tototuantu.vn/products/voi-chau-gat-gu-nong-lanh-gf-tlg11305v,2025-04-10 14:42:42,TLG11305V,TLG11305V,Vòi chậu gật gù nóng lạnh GF TLG11305B
"Vòi, Bộ xả Lavabo",voi,https://product.hstatic.net/1000238289/product/medium_t6jv6_fa1d3056539c4b00bac672e2dff9c3db_7b5e9c42e78d4da6a9193f28b1c57cd5_medium.jpg,Vòi xả nhấn chậu rửa T6JV6,"950,000₫","760,000₫",True,https://tototuantu.vn/products/voi-xa-nhan-t6jv6-1,2025-04-10 14:43:19,T6JV6,T6JV6,Vòi xả nhấn chậu rửa T6JV6
"Vòi, Vòi Bồn Tắm, Vòi gắn bồn",voi,https://product.hstatic.net/1000238289/product/tbp02201ba_4x_4cd2aecf71de46cb9bd40af4cafea3e7_medium.png,Vòi xả bồn nóng lạnh ZL (3 lỗ) TBP02201BA,"60,610,000₫","47,275,800₫",True,https://tototuantu.vn/products/voi-xa-bon-nong-lanh-zl-3-lo-tbp02201ba,2025-04-10 14:44:56,TBP02201BA,TBP02201BA,Vòi xả bồn nóng lạnh ZL (3 lỗ) TBP02201BA
"Vòi, Vòi Bồn Tắm, Vòi gắn bồn",voi,https://product.hstatic.net/1000238289/product/tx447srsn_69818d91df2242d299b35674d5044c1e_1079e4971d894fbd8b63d5eb2f08a905_medium.jpg,Vòi xả bồn nóng lạnh TX447SRSN,"15,235,000₫","11,883,300₫",True,https://tototuantu.vn/products/voi-xa-bon-nong-lanh-tx447srsn-1,2025-04-10 14:46:03,TX447SRSN,TX447SRSN,Vòi xả bồn nóng lạnh TX447SRSN
"Vòi, Vòi Bồn Tắm, Vòi gắn bồn",voi,https://product.hstatic.net/1000238289/product/tbg11304v_3ac0cda880094ebf998755bcec5f1522_166b99c0a64949ba9bde547c139c729a_medium.jpg,Vòi xả bồn nóng lạnh TOTO TBG11305A,"15,070,000₫","11,754,600₫",True,https://tototuantu.vn/products/voi-xa-bon-nong-lanh-toto-tbg11305a,2025-04-10 14:47:20,TBG11305AA,TBG11305AA,Vòi xả bồn nóng lạnh TOTO TBG11305A
"Vòi, Vòi Bồn Tắm, Vòi gắn bồn",voi,https://product.hstatic.net/1000238289/product/tai_xuong__1__cff69a3a846d4db4be0895f726e4d1f5_633b4d7a18f24472a6c5603d857d5806_medium.png,Vòi xả bồn nóng lạnh TOTO TBG11201B,"10,060,000₫","7,846,800₫",True,https://tototuantu.vn/products/voi-xa-bon-nong-lanh-toto-tbg11201b-1,2025-04-10 14:48:48,TBG11201B,TBG11201B,Vòi xả bồn nóng lạnh TOTO TBG11201B
"Vòi, Vòi Bồn Tắm, Vòi đặt sàn",voi,https://product.hstatic.net/1000238289/product/upload_90de3b588b3640ada27539faea9f6918_4154fdfc93794c24b43119e3c0c120a4_medium.jpg,Vòi xả bồn nóng lạnh TBP01301A#BN/TBN01105B,"122,180,000₫","95,300,400₫",True,https://tototuantu.vn/products/voi-xa-bon-nong-lanh-tbp01301a-tbn01105b-1,2025-04-10 14:49:54,TBP01301A#BN/TBN01105B,TBP01301A#BN/TBN01105B,Vòi xả bồn nóng lạnh TBP01301A#BN/TBN01105B
"Vòi, Vòi Bồn Tắm, Vòi đặt sàn",voi,https://product.hstatic.net/1000238289/product/upload_9ea7012198d54e10adf47af5efc97f54_4e5fa34e67084c01a9e3165fc49fe0f9_medium.jpg,Vòi xả bồn nóng lạnh TBP01301A/TBN01105B,"96,650,000₫","75,387,000₫",True,https://tototuantu.vn/products/voi-xa-bon-nong-lanh-tbp01301a-bn-tbn01105b-1,2025-04-10 14:51:01,TBP01301AA/TBN01105B,TBP01301AA/TBN01105B,Vòi xả bồn nóng lạnh TBP01301A/TBN01105B
,voi,https://product.hstatic.net/1000238289/product/tbg10306a.tbn01105b_74e8e55172eb45b6b724c6ee742dee3c_92f6fe4524a84f36bc38667f1ea539de_medium.jpg,Vòi xả bồn nóng lạnh TBG10306AA/TBN01105B,"47,490,000₫","37,042,200₫",False,https://tototuantu.vn/products/voi-xa-bon-nong-lanh-tbg10306a-tbn01105b-1,2025-04-10 14:52:33,,,
"Vòi, Vòi Bồn Tắm, Vòi gắn bồn",voi,https://product.hstatic.net/1000238289/product/tbg10305a_6c71b0d4100b411da65e98ec45e09505_92fa01fe88714d378e7496a7c82527d9_medium.jpg,Vòi xả bồn nóng lạnh TBG10305A,"18,600,000₫","14,508,000₫",True,https://tototuantu.vn/products/voi-xa-bon-nong-lanh-tbg10305a-1,2025-04-10 14:53:30,TBG10305AA,TBG10305AA,Vòi xả bồn nóng lạnh TBG10305A
"Vòi, Vòi Bồn Tắm, Vòi gắn bồn",voi,https://product.hstatic.net/1000238289/product/tbg10202a_41ce552845e24f498fbed7491e89b50f_b6f122355f7a4048b7627d172a0e229d_medium.jpg,Vòi xả bồn nóng lạnh TBG10202A,"26,750,000₫","20,865,000₫",True,https://tototuantu.vn/products/voi-xa-bon-nong-lanh-tbg10202a-1,2025-04-10 14:54:57,TBG10202A,TBG10202A,Vòi xả bồn nóng lạnh TBG10202A
